field,current_value,next_value,current_date,next_date
n2,6,15,2016-04-11,2016-04-12
n2,15,5,2016-04-12,2016-04-13
n2,5,15,2016-04-13,2016-04-14
n2,15,14,2016-04-14,2016-04-15
n2,14,8,2016-04-15,2016-04-16
n2,8,7,2016-04-16,2016-04-18
n2,7,13,2016-04-18,2016-04-19
n2,13,16,2016-04-19,2016-04-20
n2,16,7,2016-04-20,2016-04-21
n2,7,6,2016-04-21,2016-04-22
n2,6,21,2016-04-22,2016-04-23
n2,21,22,2016-04-23,2016-04-25
n2,22,3,2016-04-25,2016-04-26
n2,3,5,2016-04-26,2016-04-27
n2,5,10,2016-04-27,2016-04-28
n2,10,15,2016-04-28,2016-04-29
n2,15,13,2016-04-29,2016-04-30
n2,13,13,2016-04-30,2016-05-02
n2,13,5,2016-05-02,2016-05-03
n2,5,13,2016-05-03,2016-05-04
n2,13,11,2016-05-04,2016-05-05
n2,11,22,2016-05-05,2016-05-06
n2,22,20,2016-05-06,2016-05-07
n2,20,4,2016-05-07,2016-05-09
n2,4,28,2016-05-09,2016-05-10
n2,28,7,2016-05-10,2016-05-11
n2,7,12,2016-05-11,2016-05-12
n2,12,5,2016-05-12,2016-05-13
n2,5,15,2016-05-13,2016-05-14
n2,15,17,2016-05-14,2016-05-16
n2,17,8,2016-05-16,2016-05-17
n2,8,16,2016-05-17,2016-05-18
n2,16,21,2016-05-18,2016-05-19
n2,21,9,2016-05-19,2016-05-20
n2,9,22,2016-05-20,2016-05-21
n2,22,17,2016-05-21,2016-05-23
n2,17,17,2016-05-23,2016-05-24
n2,17,4,2016-05-24,2016-05-25
n2,4,11,2016-05-25,2016-05-26
n2,11,5,2016-05-26,2016-05-27
n2,5,25,2016-05-27,2016-05-28
n2,25,9,2016-05-28,2016-05-30
n2,9,4,2016-05-30,2016-05-31
n2,4,16,2016-05-31,2016-06-01
n2,16,5,2016-06-01,2016-06-02
n2,5,25,2016-06-02,2016-06-03
n2,25,11,2016-06-03,2016-06-04
n2,11,5,2016-06-04,2016-06-06
n2,5,20,2016-06-06,2016-06-07
n2,20,15,2016-06-07,2016-06-08
n2,15,11,2016-06-08,2016-06-09
n2,11,21,2016-06-09,2016-06-10
n2,21,25,2016-06-10,2016-06-11
n2,25,5,2016-06-11,2016-06-13
n2,5,6,2016-06-13,2016-06-14
n2,6,16,2016-06-14,2016-06-15
n2,16,3,2016-06-15,2016-06-16
n2,3,12,2016-06-16,2016-06-17
n2,12,20,2016-06-17,2016-06-18
n2,20,18,2016-06-18,2016-06-20
n2,18,14,2016-06-20,2016-06-21
n2,14,11,2016-06-21,2016-06-22
n2,11,10,2016-06-22,2016-06-23
n2,10,10,2016-06-23,2016-06-24
n2,10,16,2016-06-24,2016-06-25
n2,16,26,2016-06-25,2016-06-27
n2,26,5,2016-06-27,2016-06-28
n2,5,10,2016-06-28,2016-06-29
n2,10,15,2016-06-29,2016-06-30
n2,15,14,2016-06-30,2016-07-01
n2,14,15,2016-07-01,2016-07-02
n2,15,28,2016-07-02,2016-07-04
n2,28,10,2016-07-04,2016-07-05
n2,10,11,2016-07-05,2016-07-06
n2,11,17,2016-07-06,2016-07-07
n2,17,25,2016-07-07,2016-07-08
n2,25,12,2016-07-08,2016-07-09
n2,12,9,2016-07-09,2016-07-11
n2,9,22,2016-07-11,2016-07-12
n2,22,2,2016-07-12,2016-07-13
n2,2,25,2016-07-13,2016-07-14
n2,25,16,2016-07-14,2016-07-15
n2,16,10,2016-07-15,2016-07-16
n2,10,19,2016-07-16,2016-07-18
n2,19,12,2016-07-18,2016-07-19
n2,12,11,2016-07-19,2016-07-20
n2,11,22,2016-07-20,2016-07-21
n2,22,4,2016-07-21,2016-07-22
n2,4,7,2016-07-22,2016-07-23
n2,7,14,2016-07-23,2016-07-25
n2,14,9,2016-07-25,2016-07-26
n2,9,14,2016-07-26,2016-07-27
n2,14,3,2016-07-27,2016-07-28
n2,3,27,2016-07-28,2016-07-29
n2,27,17,2016-07-29,2016-07-30
n2,17,9,2016-07-30,2016-08-01
n2,9,10,2016-08-01,2016-08-02
n2,10,22,2016-08-02,2016-08-03
n2,22,16,2016-08-03,2016-08-04
n2,16,11,2016-08-04,2016-08-05
n2,11,2,2016-08-05,2016-08-06
n2,2,12,2016-08-06,2016-08-08
n2,12,11,2016-08-08,2016-08-09
n2,11,15,2016-08-09,2016-08-10
n2,15,11,2016-08-10,2016-08-11
n2,11,9,2016-08-11,2016-08-12
n2,9,6,2016-08-12,2016-08-13
n2,6,24,2016-08-13,2016-08-15
n2,24,4,2016-08-15,2016-08-16
n2,4,13,2016-08-16,2016-08-17
n2,13,21,2016-08-17,2016-08-18
n2,21,11,2016-08-18,2016-08-19
n2,11,5,2016-08-19,2016-08-20
n2,5,9,2016-08-20,2016-08-22
n2,9,21,2016-08-22,2016-08-23
n2,21,13,2016-08-23,2016-08-24
n2,13,12,2016-08-24,2016-08-25
n2,12,10,2016-08-25,2016-08-26
n2,10,25,2016-08-26,2016-08-27
n2,25,13,2016-08-27,2016-08-29
n2,13,15,2016-08-29,2016-08-30
n2,15,9,2016-08-30,2016-08-31
n2,9,7,2016-08-31,2016-09-01
n2,7,5,2016-09-01,2016-09-02
n2,5,14,2016-09-02,2016-09-03
n2,14,11,2016-09-03,2016-09-05
n2,11,20,2016-09-05,2016-09-06
n2,20,14,2016-09-06,2016-09-07
n2,14,7,2016-09-07,2016-09-08
n2,7,16,2016-09-08,2016-09-09
n2,16,17,2016-09-09,2016-09-10
n2,17,12,2016-09-10,2016-09-12
n2,12,10,2016-09-12,2016-09-13
n2,10,15,2016-09-13,2016-09-14
n2,15,19,2016-09-14,2016-09-15
n2,19,8,2016-09-15,2016-09-16
n2,8,4,2016-09-16,2016-09-17
n2,4,16,2016-09-17,2016-09-19
n2,16,21,2016-09-19,2016-09-20
n2,21,9,2016-09-20,2016-09-21
n2,9,10,2016-09-21,2016-09-22
n2,10,8,2016-09-22,2016-09-23
n2,8,20,2016-09-23,2016-09-24
n2,20,14,2016-09-24,2016-09-26
n2,14,11,2016-09-26,2016-09-27
n2,11,11,2016-09-27,2016-09-28
n2,11,10,2016-09-28,2016-09-29
n2,10,20,2016-09-29,2016-09-30
n2,20,10,2016-09-30,2016-10-01
n2,10,17,2016-10-01,2016-10-03
n2,17,21,2016-10-03,2016-10-04
n2,21,15,2016-10-04,2016-10-05
n2,15,17,2016-10-05,2016-10-06
n2,17,8,2016-10-06,2016-10-07
n2,8,15,2016-10-07,2016-10-08
n2,15,20,2016-10-08,2016-10-10
n2,20,13,2016-10-10,2016-10-11
n2,13,7,2016-10-11,2016-10-12
n2,7,11,2016-10-12,2016-10-13
n2,11,12,2016-10-13,2016-10-14
n2,12,21,2016-10-14,2016-10-15
n2,21,11,2016-10-15,2016-10-17
n2,11,17,2016-10-17,2016-10-18
n2,17,15,2016-10-18,2016-10-19
n2,15,19,2016-10-19,2016-10-20
n2,19,15,2016-10-20,2016-10-21
n2,15,16,2016-10-21,2016-10-22
n2,16,10,2016-10-22,2016-10-24
n2,10,9,2016-10-24,2016-10-25
n2,9,10,2016-10-25,2016-10-26
n2,10,23,2016-10-26,2016-10-27
n2,23,20,2016-10-27,2016-10-28
n2,20,15,2016-10-28,2016-10-29
n2,15,3,2016-10-29,2016-10-31
n2,3,15,2016-10-31,2016-11-01
n2,15,28,2016-11-01,2016-11-02
n2,28,6,2016-11-02,2016-11-03
n2,6,32,2016-11-03,2016-11-04
n2,32,15,2016-11-04,2016-11-05
n2,15,22,2016-11-05,2016-11-07
n2,22,13,2016-11-07,2016-11-08
n2,13,7,2016-11-08,2016-11-09
n2,7,5,2016-11-09,2016-11-10
n2,5,8,2016-11-10,2016-11-11
n2,8,12,2016-11-11,2016-11-12
n2,12,16,2016-11-12,2016-11-14
n2,16,19,2016-11-14,2016-11-15
n2,19,12,2016-11-15,2016-11-16
n2,12,16,2016-11-16,2016-11-17
n2,16,13,2016-11-17,2016-11-18
n2,13,12,2016-11-18,2016-11-19
n2,12,16,2016-11-19,2016-11-21
n2,16,5,2016-11-21,2016-11-22
n2,5,8,2016-11-22,2016-11-23
n2,8,16,2016-11-23,2016-11-24
n2,16,12,2016-11-24,2016-11-25
n2,12,12,2016-11-25,2016-11-26
n2,12,9,2016-11-26,2016-11-28
n2,9,12,2016-11-28,2016-11-29
n2,12,14,2016-11-29,2016-11-30
n2,14,4,2016-11-30,2016-12-01
n2,4,17,2016-12-01,2016-12-02
n2,17,9,2016-12-02,2016-12-03
n2,9,8,2016-12-03,2016-12-05
n2,8,12,2016-12-05,2016-12-06
n2,12,12,2016-12-06,2016-12-07
n2,12,7,2016-12-07,2016-12-08
n2,7,22,2016-12-08,2016-12-09
n2,22,8,2016-12-09,2016-12-10
n2,8,8,2016-12-10,2016-12-12
n2,8,6,2016-12-12,2016-12-13
n2,6,15,2016-12-13,2016-12-14
n2,15,19,2016-12-14,2016-12-15
n2,19,10,2016-12-15,2016-12-16
n2,10,6,2016-12-16,2016-12-17
n2,6,12,2016-12-17,2016-12-19
n2,12,15,2016-12-19,2016-12-20
n2,15,3,2016-12-20,2016-12-21
n2,3,18,2016-12-21,2016-12-22
n2,18,8,2016-12-22,2016-12-23
n2,8,11,2016-12-23,2016-12-24
n2,11,6,2016-12-24,2016-12-26
n2,6,19,2016-12-26,2016-12-27
n2,19,12,2016-12-27,2016-12-28
n2,12,25,2016-12-28,2016-12-29
n2,25,13,2016-12-29,2016-12-30
n2,13,18,2016-12-30,2016-12-31
n2,18,10,2016-12-31,2017-01-02
n2,10,8,2017-01-02,2017-01-03
n2,8,9,2017-01-03,2017-01-04
n2,9,25,2017-01-04,2017-01-05
n2,25,6,2017-01-05,2017-01-06
n2,6,12,2017-01-06,2017-01-07
n2,12,16,2017-01-07,2017-01-09
n2,16,9,2017-01-09,2017-01-10
n2,9,9,2017-01-10,2017-01-11
n2,9,20,2017-01-11,2017-01-12
n2,20,18,2017-01-12,2017-01-13
n2,18,6,2017-01-13,2017-01-14
n2,6,5,2017-01-14,2017-01-16
n2,5,18,2017-01-16,2017-01-17
n2,18,20,2017-01-17,2017-01-18
n2,20,11,2017-01-18,2017-01-19
n2,11,11,2017-01-19,2017-01-20
n2,11,15,2017-01-20,2017-01-21
n2,15,13,2017-01-21,2017-01-23
n2,13,28,2017-01-23,2017-01-24
n2,28,8,2017-01-24,2017-01-25
n2,8,23,2017-01-25,2017-01-26
n2,23,3,2017-01-26,2017-01-27
n2,3,8,2017-01-27,2017-01-28
n2,8,8,2017-01-28,2017-01-30
n2,8,6,2017-01-30,2017-01-31
n2,6,13,2017-01-31,2017-02-01
n2,13,5,2017-02-01,2017-02-02
n2,5,19,2017-02-02,2017-02-03
n2,19,7,2017-02-03,2017-02-04
n2,7,24,2017-02-04,2017-02-06
n2,24,8,2017-02-06,2017-02-07
n2,8,8,2017-02-07,2017-02-08
n2,8,3,2017-02-08,2017-02-09
n2,3,17,2017-02-09,2017-02-10
n2,17,15,2017-02-10,2017-02-11
n2,15,8,2017-02-11,2017-02-13
n2,8,7,2017-02-13,2017-02-14
n2,7,20,2017-02-14,2017-02-15
n2,20,3,2017-02-15,2017-02-16
n2,3,8,2017-02-16,2017-02-17
n2,8,6,2017-02-17,2017-02-18
n2,6,15,2017-02-18,2017-02-20
n2,15,16,2017-02-20,2017-02-21
n2,16,17,2017-02-21,2017-02-22
n2,17,6,2017-02-22,2017-02-23
n2,6,28,2017-02-23,2017-02-24
n2,28,14,2017-02-24,2017-02-25
n2,14,25,2017-02-25,2017-02-27
n2,25,12,2017-02-27,2017-02-28
n2,12,9,2017-02-28,2017-03-01
n2,9,20,2017-03-01,2017-03-02
n2,20,9,2017-03-02,2017-03-03
n2,9,11,2017-03-03,2017-03-04
n2,11,11,2017-03-04,2017-03-06
n2,11,9,2017-03-06,2017-03-07
n2,9,8,2017-03-07,2017-03-08
n2,8,6,2017-03-08,2017-03-09
n2,6,10,2017-03-09,2017-03-10
n2,10,18,2017-03-10,2017-03-11
n2,18,12,2017-03-11,2017-03-13
n2,12,12,2017-03-13,2017-03-14
n2,12,21,2017-03-14,2017-03-15
n2,21,4,2017-03-15,2017-03-16
n2,4,8,2017-03-16,2017-03-17
n2,8,7,2017-03-17,2017-03-18
n2,7,18,2017-03-18,2017-03-20
n2,18,24,2017-03-20,2017-03-21
n2,24,6,2017-03-21,2017-03-22
n2,6,26,2017-03-22,2017-03-23
n2,26,11,2017-03-23,2017-03-24
n2,11,27,2017-03-24,2017-03-25
n2,27,11,2017-03-25,2017-03-27
n2,11,13,2017-03-27,2017-03-28
n2,13,8,2017-03-28,2017-03-29
n2,8,4,2017-03-29,2017-03-30
n2,4,18,2017-03-30,2017-03-31
n2,18,7,2017-03-31,2017-04-01
n2,7,19,2017-04-01,2017-04-03
n2,19,26,2017-04-03,2017-04-04
n2,26,15,2017-04-04,2017-04-05
n2,15,9,2017-04-05,2017-04-06
n2,9,20,2017-04-06,2017-04-07
n2,20,21,2017-04-07,2017-04-08
n2,21,22,2017-04-08,2017-04-10
n2,22,21,2017-04-10,2017-04-11
n2,21,23,2017-04-11,2017-04-12
n2,23,29,2017-04-12,2017-04-13
n2,29,19,2017-04-13,2017-04-14
n2,19,19,2017-04-14,2017-04-15
n2,19,11,2017-04-15,2017-04-17
n2,11,18,2017-04-17,2017-04-18
n2,18,9,2017-04-18,2017-04-19
n2,9,21,2017-04-19,2017-04-20
n2,21,19,2017-04-20,2017-04-21
n2,19,11,2017-04-21,2017-04-22
n2,11,29,2017-04-22,2017-04-24
n2,29,9,2017-04-24,2017-04-25
n2,9,13,2017-04-25,2017-04-26
n2,13,8,2017-04-26,2017-04-27
n2,8,16,2017-04-27,2017-04-28
n2,16,16,2017-04-28,2017-04-29
n2,16,24,2017-04-29,2017-05-01
n2,24,11,2017-05-01,2017-05-02
n2,11,18,2017-05-02,2017-05-03
n2,18,16,2017-05-03,2017-05-04
n2,16,11,2017-05-04,2017-05-05
n2,11,7,2017-05-05,2017-05-06
n2,7,24,2017-05-06,2017-05-08
n2,24,8,2017-05-08,2017-05-09
n2,8,6,2017-05-09,2017-05-10
n2,6,7,2017-05-10,2017-05-11
n2,7,7,2017-05-11,2017-05-12
n2,7,13,2017-05-12,2017-05-13
n2,13,9,2017-05-13,2017-05-15
n2,9,11,2017-05-15,2017-05-16
n2,11,17,2017-05-16,2017-05-17
n2,17,7,2017-05-17,2017-05-18
n2,7,9,2017-05-18,2017-05-19
n2,9,17,2017-05-19,2017-05-20
n2,17,3,2017-05-20,2017-05-22
n2,3,12,2017-05-22,2017-05-23
n2,12,9,2017-05-23,2017-05-24
n2,9,5,2017-05-24,2017-05-25
n2,5,11,2017-05-25,2017-05-26
n2,11,25,2017-05-26,2017-05-27
n2,25,26,2017-05-27,2017-05-29
n2,26,11,2017-05-29,2017-05-30
n2,11,5,2017-05-30,2017-05-31
n2,5,10,2017-05-31,2017-06-01
n2,10,5,2017-06-01,2017-06-02
n2,5,14,2017-06-02,2017-06-03
n2,14,16,2017-06-03,2017-06-05
n2,16,23,2017-06-05,2017-06-06
n2,23,19,2017-06-06,2017-06-07
n2,19,14,2017-06-07,2017-06-08
n2,14,7,2017-06-08,2017-06-09
n2,7,16,2017-06-09,2017-06-10
n2,16,11,2017-06-10,2017-06-12
n2,11,2,2017-06-12,2017-06-13
n2,2,6,2017-06-13,2017-06-14
n2,6,11,2017-06-14,2017-06-15
n2,11,28,2017-06-15,2017-06-16
n2,28,15,2017-06-16,2017-06-17
n2,15,31,2017-06-17,2017-06-19
n2,31,16,2017-06-19,2017-06-20
n2,16,10,2017-06-20,2017-06-21
n2,10,22,2017-06-21,2017-06-22
n2,22,6,2017-06-22,2017-06-23
n2,6,7,2017-06-23,2017-06-24
n2,7,5,2017-06-24,2017-06-26
n2,5,14,2017-06-26,2017-06-27
n2,14,13,2017-06-27,2017-06-28
n2,13,21,2017-06-28,2017-06-29
n2,21,11,2017-06-29,2017-06-30
n2,11,8,2017-06-30,2017-07-01
n2,8,17,2017-07-01,2017-07-03
n2,17,15,2017-07-03,2017-07-04
n2,15,10,2017-07-04,2017-07-05
n2,10,16,2017-07-05,2017-07-06
n2,16,15,2017-07-06,2017-07-07
n2,15,9,2017-07-07,2017-07-08
n2,9,13,2017-07-08,2017-07-10
n2,13,14,2017-07-10,2017-07-11
n2,14,5,2017-07-11,2017-07-12
n2,5,14,2017-07-12,2017-07-13
n2,14,16,2017-07-13,2017-07-14
n2,16,5,2017-07-14,2017-07-15
n2,5,10,2017-07-15,2017-07-17
n2,10,9,2017-07-17,2017-07-18
n2,9,20,2017-07-18,2017-07-19
n2,20,10,2017-07-19,2017-07-20
n2,10,5,2017-07-20,2017-07-21
n2,5,11,2017-07-21,2017-07-22
n2,11,16,2017-07-22,2017-07-24
n2,16,24,2017-07-24,2017-07-25
n2,24,20,2017-07-25,2017-07-26
n2,20,14,2017-07-26,2017-07-27
n2,14,25,2017-07-27,2017-07-28
n2,25,18,2017-07-28,2017-07-29
n2,18,13,2017-07-29,2017-07-31
n2,13,13,2017-07-31,2017-08-01
n2,13,15,2017-08-01,2017-08-02
n2,15,30,2017-08-02,2017-08-03
n2,30,14,2017-08-03,2017-08-04
n2,14,10,2017-08-04,2017-08-05
n2,10,10,2017-08-05,2017-08-07
n2,10,8,2017-08-07,2017-08-08
n2,8,12,2017-08-08,2017-08-09
n2,12,14,2017-08-09,2017-08-10
n2,14,3,2017-08-10,2017-08-11
n2,3,20,2017-08-11,2017-08-12
n2,20,18,2017-08-12,2017-08-14
n2,18,13,2017-08-14,2017-08-15
n2,13,4,2017-08-15,2017-08-16
n2,4,8,2017-08-16,2017-08-17
n2,8,8,2017-08-17,2017-08-18
n2,8,13,2017-08-18,2017-08-19
n2,13,12,2017-08-19,2017-08-21
n2,12,24,2017-08-21,2017-08-22
n2,24,30,2017-08-22,2017-08-23
n2,30,27,2017-08-23,2017-08-24
n2,27,16,2017-08-24,2017-08-25
n2,16,9,2017-08-25,2017-08-26
n2,9,11,2017-08-26,2017-08-28
n2,11,21,2017-08-28,2017-08-29
n2,21,17,2017-08-29,2017-08-30
n2,17,8,2017-08-30,2017-08-31
n2,8,15,2017-08-31,2017-09-01
n2,15,10,2017-09-01,2017-09-02
n2,10,21,2017-09-02,2017-09-04
n2,21,6,2017-09-04,2017-09-05
n2,6,8,2017-09-05,2017-09-06
n2,8,13,2017-09-06,2017-09-07
n2,13,10,2017-09-07,2017-09-08
n2,10,19,2017-09-08,2017-09-09
n2,19,3,2017-09-09,2017-09-11
n2,3,10,2017-09-11,2017-09-12
n2,10,28,2017-09-12,2017-09-13
n2,28,17,2017-09-13,2017-09-14
n2,17,7,2017-09-14,2017-09-15
n2,7,4,2017-09-15,2017-09-16
n2,4,25,2017-09-16,2017-09-18
n2,25,6,2017-09-18,2017-09-19
n2,6,19,2017-09-19,2017-09-20
n2,19,5,2017-09-20,2017-09-21
n2,5,10,2017-09-21,2017-09-22
n2,10,7,2017-09-22,2017-09-23
n2,7,8,2017-09-23,2017-09-25
n2,8,15,2017-09-25,2017-09-26
n2,15,29,2017-09-26,2017-09-27
n2,29,23,2017-09-27,2017-09-28
n2,23,4,2017-09-28,2017-09-29
n2,4,4,2017-09-29,2017-09-30
n2,4,15,2017-09-30,2017-10-02
n2,15,14,2017-10-02,2017-10-03
n2,14,11,2017-10-03,2017-10-04
n2,11,19,2017-10-04,2017-10-05
n2,19,11,2017-10-05,2017-10-06
n2,11,20,2017-10-06,2017-10-07
n2,20,7,2017-10-07,2017-10-09
n2,7,21,2017-10-09,2017-10-10
n2,21,17,2017-10-10,2017-10-11
n2,17,26,2017-10-11,2017-10-12
n2,26,15,2017-10-12,2017-10-13
n2,15,13,2017-10-13,2017-10-14
n2,13,28,2017-10-14,2017-10-16
n2,28,24,2017-10-16,2017-10-17
n2,24,9,2017-10-17,2017-10-18
n2,9,20,2017-10-18,2017-10-19
n2,20,7,2017-10-19,2017-10-20
n2,7,17,2017-10-20,2017-10-21
n2,17,11,2017-10-21,2017-10-23
n2,11,14,2017-10-23,2017-10-24
n2,14,17,2017-10-24,2017-10-25
n2,17,17,2017-10-25,2017-10-26
n2,17,3,2017-10-26,2017-10-27
n2,3,10,2017-10-27,2017-10-28
n2,10,15,2017-10-28,2017-10-30
n2,15,3,2017-10-30,2017-10-31
n2,3,13,2017-10-31,2017-11-01
n2,13,5,2017-11-01,2017-11-02
n2,5,12,2017-11-02,2017-11-03
n2,12,6,2017-11-03,2017-11-04
n2,6,20,2017-11-04,2017-11-06
n2,20,6,2017-11-06,2017-11-07
n2,6,13,2017-11-07,2017-11-08
n2,13,14,2017-11-08,2017-11-09
n2,14,16,2017-11-09,2017-11-10
n2,16,21,2017-11-10,2017-11-11
n2,21,5,2017-11-11,2017-11-13
n2,5,2,2017-11-13,2017-11-14
n2,2,11,2017-11-14,2017-11-15
n2,11,26,2017-11-15,2017-11-16
n2,26,11,2017-11-16,2017-11-17
n2,11,14,2017-11-17,2017-11-18
n2,14,24,2017-11-18,2017-11-20
n2,24,6,2017-11-20,2017-11-21
n2,6,21,2017-11-21,2017-11-22
n2,21,17,2017-11-22,2017-11-23
n2,17,11,2017-11-23,2017-11-24
n2,11,9,2017-11-24,2017-11-25
n2,9,5,2017-11-25,2017-11-27
n2,5,16,2017-11-27,2017-11-28
n2,16,13,2017-11-28,2017-11-29
n2,13,22,2017-11-29,2017-11-30
n2,22,21,2017-11-30,2017-12-01
n2,21,5,2017-12-01,2017-12-02
n2,5,17,2017-12-02,2017-12-04
n2,17,20,2017-12-04,2017-12-05
n2,20,19,2017-12-05,2017-12-06
n2,19,8,2017-12-06,2017-12-07
n2,8,5,2017-12-07,2017-12-08
n2,5,17,2017-12-08,2017-12-09
n2,17,17,2017-12-09,2017-12-11
n2,17,9,2017-12-11,2017-12-12
n2,9,12,2017-12-12,2017-12-13
n2,12,19,2017-12-13,2017-12-14
n2,19,27,2017-12-14,2017-12-15
n2,27,19,2017-12-15,2017-12-16
n2,19,3,2017-12-16,2017-12-18
n2,3,8,2017-12-18,2017-12-19
n2,8,10,2017-12-19,2017-12-20
n2,10,18,2017-12-20,2017-12-21
n2,18,6,2017-12-21,2017-12-22
n2,6,19,2017-12-22,2017-12-23
n2,19,11,2017-12-23,2017-12-25
n2,11,11,2017-12-25,2017-12-26
n2,11,30,2017-12-26,2017-12-27
n2,30,10,2017-12-27,2017-12-28
n2,10,8,2017-12-28,2017-12-29
n2,8,18,2017-12-29,2017-12-30
n2,18,14,2017-12-30,2018-01-01
n2,14,7,2018-01-01,2018-01-02
n2,7,3,2018-01-02,2018-01-03
n2,3,14,2018-01-03,2018-01-04
n2,14,8,2018-01-04,2018-01-05
n2,8,7,2018-01-05,2018-01-06
n2,7,22,2018-01-06,2018-01-08
n2,22,23,2018-01-08,2018-01-09
n2,23,6,2018-01-09,2018-01-10
n2,6,7,2018-01-10,2018-01-11
n2,7,6,2018-01-11,2018-01-12
n2,6,9,2018-01-12,2018-01-13
n2,9,6,2018-01-13,2018-01-15
n2,6,12,2018-01-15,2018-01-16
n2,12,9,2018-01-16,2018-01-17
n2,9,23,2018-01-17,2018-01-18
n2,23,5,2018-01-18,2018-01-19
n2,5,23,2018-01-19,2018-01-20
n2,23,23,2018-01-20,2018-01-22
n2,23,4,2018-01-22,2018-01-23
n2,4,27,2018-01-23,2018-01-24
n2,27,7,2018-01-24,2018-01-25
n2,7,17,2018-01-25,2018-01-26
n2,17,23,2018-01-26,2018-01-27
n2,23,22,2018-01-27,2018-01-29
n2,22,10,2018-01-29,2018-01-30
n2,10,2,2018-01-30,2018-01-31
n2,2,15,2018-01-31,2018-02-01
n2,15,10,2018-02-01,2018-02-02
n2,10,21,2018-02-02,2018-02-03
n2,21,17,2018-02-03,2018-02-05
n2,17,12,2018-02-05,2018-02-06
n2,12,25,2018-02-06,2018-02-07
n2,25,5,2018-02-07,2018-02-08
n2,5,7,2018-02-08,2018-02-09
n2,7,17,2018-02-09,2018-02-10
n2,17,11,2018-02-10,2018-02-12
n2,11,19,2018-02-12,2018-02-13
n2,19,7,2018-02-13,2018-02-14
n2,7,5,2018-02-14,2018-02-15
n2,5,2,2018-02-15,2018-02-16
n2,2,3,2018-02-16,2018-02-17
n2,3,13,2018-02-17,2018-02-19
n2,13,6,2018-02-19,2018-02-20
n2,6,13,2018-02-20,2018-02-21
n2,13,6,2018-02-21,2018-02-22
n2,6,5,2018-02-22,2018-02-23
n2,5,9,2018-02-23,2018-02-24
n2,9,12,2018-02-24,2018-02-26
n2,12,12,2018-02-26,2018-02-27
n2,12,14,2018-02-27,2018-02-28
n2,14,8,2018-02-28,2018-03-01
n2,8,22,2018-03-01,2018-03-02
n2,22,14,2018-03-02,2018-03-03
n2,14,24,2018-03-03,2018-03-05
n2,24,14,2018-03-05,2018-03-06
n2,14,8,2018-03-06,2018-03-07
n2,8,15,2018-03-07,2018-03-08
n2,15,13,2018-03-08,2018-03-09
n2,13,7,2018-03-09,2018-03-10
n2,7,2,2018-03-10,2018-03-12
n2,2,6,2018-03-12,2018-03-13
n2,6,21,2018-03-13,2018-03-14
n2,21,4,2018-03-14,2018-03-15
n2,4,15,2018-03-15,2018-03-16
n2,15,14,2018-03-16,2018-03-17
n2,14,16,2018-03-17,2018-03-19
n2,16,8,2018-03-19,2018-03-20
n2,8,8,2018-03-20,2018-03-21
n2,8,6,2018-03-21,2018-03-22
n2,6,21,2018-03-22,2018-03-23
n2,21,14,2018-03-23,2018-03-24
n2,14,7,2018-03-24,2018-03-26
n2,7,6,2018-03-26,2018-03-27
n2,6,23,2018-03-27,2018-03-28
n2,23,19,2018-03-28,2018-03-29
n2,19,14,2018-03-29,2018-03-30
n2,14,9,2018-03-30,2018-03-31
n2,9,14,2018-03-31,2018-04-02
n2,14,8,2018-04-02,2018-04-03
n2,8,20,2018-04-03,2018-04-04
n2,20,16,2018-04-04,2018-04-05
n2,16,15,2018-04-05,2018-04-06
n2,15,6,2018-04-06,2018-04-07
n2,6,27,2018-04-07,2018-04-09
n2,27,13,2018-04-09,2018-04-10
n2,13,16,2018-04-10,2018-04-11
n2,16,10,2018-04-11,2018-04-12
n2,10,8,2018-04-12,2018-04-13
n2,8,22,2018-04-13,2018-04-14
n2,22,7,2018-04-14,2018-04-16
n2,7,7,2018-04-16,2018-04-17
n2,7,16,2018-04-17,2018-04-18
n2,16,6,2018-04-18,2018-04-19
n2,6,23,2018-04-19,2018-04-20
n2,23,12,2018-04-20,2018-04-21
n2,12,10,2018-04-21,2018-04-23
n2,10,5,2018-04-23,2018-04-24
n2,5,7,2018-04-24,2018-04-25
n2,7,4,2018-04-25,2018-04-26
n2,4,17,2018-04-26,2018-04-27
n2,17,5,2018-04-27,2018-04-28
n2,5,15,2018-04-28,2018-04-30
n2,15,15,2018-04-30,2018-05-01
n2,15,19,2018-05-01,2018-05-02
n2,19,19,2018-05-02,2018-05-03
n2,19,3,2018-05-03,2018-05-04
n2,3,15,2018-05-04,2018-05-05
n2,15,7,2018-05-05,2018-05-07
n2,7,26,2018-05-07,2018-05-08
n2,26,14,2018-05-08,2018-05-09
n2,14,16,2018-05-09,2018-05-10
n2,16,22,2018-05-10,2018-05-11
n2,22,26,2018-05-11,2018-05-12
n2,26,20,2018-05-12,2018-05-14
n2,20,6,2018-05-14,2018-05-15
n2,6,17,2018-05-15,2018-05-16
n2,17,15,2018-05-16,2018-05-17
n2,15,12,2018-05-17,2018-05-18
n2,12,24,2018-05-18,2018-05-19
n2,24,21,2018-05-19,2018-05-21
n2,21,8,2018-05-21,2018-05-22
n2,8,14,2018-05-22,2018-05-23
n2,14,8,2018-05-23,2018-05-24
n2,8,4,2018-05-24,2018-05-25
n2,4,16,2018-05-25,2018-05-26
